Day 5 pos,Day 5 neg,,Day 10 pos,Day 10 neg,,Day 15 pos,Day 15 neg,,Day 20 pos,Day 20 neg
C3AR1,GEMIN2,,ARHGAP44,NOX5,,WDR55,ASCL2,,MPHOSPH10,RIT1
COL17A1,ABHD14A,,RP11-466G12.4,PRDM4,,COX17,PTGR1,,AFP,ARHGAP9
DSG3,FAM20C,,HOMER2,LHX8,,ENPP1,LONRF3,,RAC3,TOM1
DKC1,NHLH2,,RORB,CKMT1A,,ARNT2,IBTK,,KLF17,EGFLAM
FOXD2,MRPS18B,,EIF2A,RAD51B,,APOC3,C9,,NIPA2,TGIF2
PROCR,RABL3,,PI16,EDDM3A,,COL4A1,C1QB,,BTN3A3,CXorf36
DDN,GSDMD,,CDA,SIL1,,SLC35G2,ITPRIPL2,,DQX1,SESN2
ZNF536,GNG13,,TUBA3C,B4GALT2,,KNTC1,SRSF4,,ACADS,RNF170
S100A13,POSTN,,GPIHBP1,SPG7,,ARFGAP2,VWA5A,,TFE3,TWF2
CD151,GJB6,,CLDN8,SMO,,C17orf66,USP35,,TRIP13,DHX29
KCNA10,RAMP1,,OR52R1,HSD17B7,,MAGEF1,C11orf40,,LTB4R,NDUFV1
SH3RF2,EIF6,,OR5J2,CD1B,,C4orf45,OR2S2,,TOP2A,C1orf95
PKDREJ,P4HA3,,FAM105B,ABCB4,,OR6A2,STAG2,,RRN3,ZNF277
KCTD19,SCN4B,,HIST1H2BD,ZFAND2B,,PLS3,SLC35B1,,MOSPD3,CRYZL1
MOSPD3,PHF23,,NAP1L5,C17orf72,,TPCN2,ERI2,,GPC5,MPHOSPH9
NLRP4,PAN3,,EFCAB3,HRAS,,ZNF383,PON2,,TMLHE,MDM1
VWA2,PLEKHM3,,CRH,TRPM4,,GTF2A2,SLC25A44,,RAD1,GNB1L
FAM47B,NAPEPLD,,CD69,C9orf116,,TMEM97,PRAMEF12,,COMMD3,NGEF
HTRA4,PSMB4,,CXCL9,A1BG,,CLK2,KRT31,,ITGB6,DNAJC19
SHISA4,STX2,,TREML4,UNC5CL,,CCND2,NCOR2,,GNG2,KLHDC1
OR52A1,ZNF878,,ZBTB48,ACY3,,FLG,MAP2K3,,TSGA13,RABIF
KIAA1377,ST8SIA3,,OPALIN,PCDH17,,ZNF32,FAM98B,,IGDCC3,FAM65C
ARFRP1,ZNF696,,METTL10,OR6K6,,HNRNPL,TAS2R42,,GRK7,C4orf46
NRBF2,CHST2,,AFP,PSG1,,UHRF1BP1L,DUSP2,,FAM105B,S100A12
ADIG,GAL3ST1,,SLC25A15,CELA2A,,RRS1,CHST2,,TAL2,HVCN1
RAB3IL1,MEGF6,,TNFRSF11A,HSPG2,,CD5,CSF1,,IL17C,PKLR
TEX33,SERINC3,,IKBIP,CHRNA7,,NAIP,MAP9,,ICAM5,CRX
FAM161B,TMX4,,RP3-402G11.5,F10,,KIAA1468,AIM2,,IPPK,OLFM3
KLHDC5,SIK2,,RASL12,ATP2B1,,ARF6,HLA-B,,TNFRSF11A,ZNF285
C20orf160,PRSS37,,YWHAZ,KRT32,,RIMBP2,NUP43,,UNCX,CALN1
SYNGR4,RIOK1,,CLASRP,CYP1B1,,L3MBTL4,DUSP8,,KRR1,ZNF597
CEL,HYDIN,,KPNA3,BEND3,,GPR68,TGM7,,FAM220A,DIS3
PCSK5,TUBB,,FMNL2,C6orf226,,HOXB4,LANCL1,,NEIL1,SCRN2
OR2AP1,SNX9,,EXD1,ECSIT,,METTL10,DPP10,,PDZD11,ADAMTS4
VAMP5,NSUN3,,KRR1,PTPN3,,ZNF208,DGKB,,DPY19L1,PADI1
CMA1,TESK1,,KRTAP12-2,COX8C,,HIST1H2BB,KRT74,,QPRT,PIP5K1B
ALKBH3,KCND2,,SOCS2,RDBP,,RABAC1,MAML2,,HRCT1,PRUNE
C5orf22,RFTN2,,ZNF564,IDH3B,,TRMT61A,CD247,,KRT37,KIAA1199
ZNF320,ZNF317,,HIST1H4I,KRTAP8-1,,SLC9C2,AQP10,,TMEM106B,STXBP2
SFTA3,C9orf41,,CCNG1,NDUFA12,,CCDC94,SNX21,,PGK2,METTL12
CXCL9,COX16,,ATP8A2,KLK7,,UCN3,ENPEP,,CYTL1,PHC3
08-Mar,USH1G,,MBTPS1,KCNK4,,OR2H2,PAIP2B,,MRFAP1,TFAP2C
LRRN3,MAP1S,,IFNA5,SGK2,,PPAPDC1A,FBXO25,,MPP4,RERGL
CDX1,SEMA4D,,WASF1,MTMR2,,MRPL3,HTR2A,,SPDYC,FXYD2
ZDHHC12,CTU1,,SUCLA2,LRRTM2,,HRCT1,NEK3,,C1orf204,GALNT9
AKAP9,UCMA,,GALK2,LRRN4CL,,TMEM106B,MAN2C1,,KRT28,DDHD1
ELTD1,PGK1,,SLCO4A1,IL12A,,CLCA2,FEZ1,,RBBP8,ING3
OR5J2,KRTAP13-2,,ZNF71,DHH,,KIR3DL3,CABP5,,COL5A1,UFSP2
HSBP1L1,INS,,MYEF2,GIN1,,BLOC1S2,GAPVD1,,APOBEC3A,RNF40
DNAJC4,PAGE2B,,DIP2C,TUBA3E,,CRYBA2,C10orf105,,ZNF704,GFI1
ZBTB12,SLFN11,,ORMDL3,C3orf25,,PNISR,WIPF1,,HAUS5,SLC39A4
FOXA1,CYS1,,RND2,STH,,TFEB,PJA1,,ELOVL6,FAM189B
GTF2H3,CHSY1,,TMOD3,TIGIT,,L2HGDH,SLCO1B3,,OTUD1,PVRL3
RPS18,ACOT11,,HARBI1,HSD17B10,,UTP20,MYSM1,,DIP2C,MSLN
ROR2,OR14I1,,BMPER,SHISA9,,NT5DC3,TMC5,,RNF150,KIF26A
EFHC2,B3GNT1,,UFSP1,BCLAF1,,KRR1,PSRC1,,MT1B,04-Mar
PDHA2,CHRNA7,,M6PR,PEX26,,PIWIL4,SEMA4D,,TMEM138,NBEA
FAM213B,PIK3C2A,,NT5DC3,MAML2,,HIST1H2BA,COL10A1,,FGF19,DCLK1
C1S,ATPBD4,,IDO1,DIEXF,,CRH,RIN1,,PCDH10,WWC1
UCN3,TMIGD2,,RPL34,GK,,PRRX2,MOB3A,,MOB1A,LIPH
ANO2,TEAD3,,WDR49,PTCD1,,NPAS4,BANP,,RPL34,TRIML2
NOM1,SCFD2,,PTPRO,ULK2,,HARBI1,NAA10,,MYO18B,RSPH6A
C2CD4D,ANGEL1,,ABHD6,PUS7,,GNAI3,TRIM31,,CHCHD5,DHX35
FBXO2,KLHDC8B,,RHBDL2,ARRB1,,ATXN7L3,CPSF3L,,HLA-C,IFT88
C19orf76,MMP25,,AIG1,ACOT11,,CSN2,TAB1,,UTP20,SPRR1B
IGFL3,IRF2,,ATAD2,ADSS,,MYH3,ALDH1L1,,PABPN1L,PRPS1
PABPN1L,C10orf12,,RWDD4,MMP25,,KCTD21,THOC6,,AMIGO3,MBOAT7
TRPM5,ADK,,FNBP4,BHLHB9,,WASF3,DOCK10,,RIMKLB,GBGT1
NAALAD2,GATAD2B,,HSP90AB1,METTL14,,OR5J2,RIN3,,MAGEF1,INMT
OR5C1,PLB1,,PTRH2,KLHL21,,DPY19L1,RFK,,BYSL,EPOR
RALGAPB,PLXNA1,,IL18,XPNPEP2,,SRSF12,NXPH3,,PHOSPHO1,FAM83C
ARL4D,TCP10L,,SCGB1A1,RPS7,,MRPS10,SLC34A2,,CST5,ATP6V0E2
NFKBIB,UFC1,,MAGEF1,TBC1D10B,,ETV5,ARTN,,REEP6,TMEM86A
ABTB2,FREM2,,NDUFA7,SYTL4,,PARP6,PCYT1A,,RIPK1,CCDC147
NSMCE4A,DSCAML1,,ITGA5,INO80,,PON3,NEXN,,ATP4B,NPLOC4
C20orf201,ELFN1,,SLC43A3,GAN,,MOSPD3,ADAM10,,PIWIL4,PDCD10
MYO18B,ANAPC7,,TBPL2,UBE2QL1,,ZNF737,BCAN,,CATSPER4,SLC25A19
METTL10,NUP88,,TTC17,DOK5,,ORMDL3,TAGLN3,,OR4X2,CIR1
MANBAL,SMC1B,,NXNL1,NOL8,,ISG20L2,GSTM5,,KRTAP25-1,MEGF9
IFI16,CALML3,,PDE6G,CDC25C,,MCEE,LAG3,,EFTUD2,C22orf31
TRAFD1,C4orf46,,PHKG1,PAAF1,,HARS2,GNG13,,FMNL2,BOK
SP1,NLRP13,,RBM3,ZNF511,,PPP1R26,RBM6,,EIF2C2,CPLX1
ARMC7,NT5C3L,,CEBPB,DLX5,,TMEM229B,PLS1,,SPTSSA,CYP46A1
DPPA2,IL1F10,,CSGALNACT2,TMEM86A,,EIF3K,HIF1A,,MRPS26,FBXO30
EHBP1L1,CANX,,NOTCH2NL,ITSN1,,ERRFI1,NT5C1B,,OR5T1,CNTNAP2
PIAS1,OR4C3,,KHDC1,CDH22,,ATAD5,ACR,,KRTAP4-2,LYZ
SAV1,PSAT1,,TAL2,ARL5B,,HINT2,GIPC2,,C17orf108,ZNF827
FBXW10,CCDC159,,PIK3CA,SOCS7,,TNFRSF11A,CRISP2,,ZBED3,NDRG4
BMPER,TBC1D20,,NAT14,BZW1,,TMX3,C10orf88,,SPATA8,PRR22
KIAA1468,DOK5,,MNS1,UBE2G2,,ALDH1L2,VIM,,DDR2,ALKBH6
LSR,WDSUB1,,NISCH,JPH4,,PPP2R1A,TEX264,,BSN,PSMD8
HAUS6,CPNE2,,C20orf20,RFK,,HAUS6,RUNDC1,,CALM3,MTBP
PLAC1L,UBQLN3,,MAFA,CLDND2,,SPERT,AHCYL2,,FITM1,SERPINI1
GPC4,ANKRD9,,ANKRD45,GTDC2,,EXOSC1,KCTD3,,UGGT2,CDH2
M6PR,DUSP7,,ARFGAP2,GTF2B,,DCXR,TAGAP,,MAD1L1,NNMT
ACVR1,C12orf44,,GALNTL1,PPIG,,GTF2H3,HMGXB4,,OR11H6,SLC12A7
P2RY4,MRGPRF,,IRF2BP1,CPSF1,,ZNF624,HS6ST2,,SLC2A8,KLHL33
POLR2A,PACRG,,UCN3,RNMTL1,,BMPER,CDKN2AIP,,RASEF,SLC39A14
OR6C2,IFI27,,BOD1L1,VSX2,,RFXAP,ZNF639,,SALL2,CCL28
PPP1R18,PRELID1,,PRKAB1,DECR2,,HIST2H3D,FAM180A,,C7orf66,IGFBP3
SPAG4,CRYGN,,EXOSC1,CTU1,,DHX8,HBEGF,,NPTX1,CASS4
TMLHE,CD1B,,OR6C2,TBX10,,ST18,NMI,,SFT2D2,RNF130
IFITM2,PIBF1,,CHCHD1,TSPO2,,COL20A1,CHRNA7,,06-Mar,CSTF3
TDRD9,ABHD1,,GTF3C4,TLE6,,RIMKLB,FBXO17,,EGLN2,PTCD3
RXFP4,C18orf1,,CLN8,TRIM32,,ZBTB12,EHD4,,FAM83G,DEPDC1
ORMDL3,CLDN4,,PIGO,PIAS2,,TAF1L,CHRAC1,,ZNF431,IGSF1
RPS16,GLTPD1,,CALM2,BCAP31,,LEFTY1,SLFNL1,,KCNA7,C17orf56
APOL5,FANCG,,ZNF234,B3GNT3,,P2RY4,TCIRG1,,SLC34A3,TRMT2B
C2orf40,KLF10,,DVL2,DAGLB,,C10orf95,TPM3,,ABHD6,RC3H1
OPA1,IFT46,,CYP27C1,FAM98B,,RAC3,ANKRD10,,PPP1R26,SLC25A46
HIST1H2BB,LTBP2,,IL17C,MYOT,,SCN1B,GAL3ST4,,TFR2,GPR157
TNFRSF11A,C2orf42,,DDB2,ASCL2,,ASPDH,RP11-173D9.3,,C7orf41,ARHGAP24
AFG3L2,C8orf73,,APOC4,PAGE1,,RAB9B,PHOX2B,,GNB2,KRT10
NDUFA7,C17orf96,,ZNF491,FCHO2,,WDR96,SAMD10,,G6PC,SYTL4
BSN,ARHGEF38,,ROR2,RPS8,,KIF1C,PPP4R2,,ARHGAP44,SMAD3
OR2Z1,TAF3,,ARHGAP35,SYN3,,WASF1,ZCCHC7,,LYG2,ARHGAP15
PHKG1,C3orf77,,ZSCAN21,UNC45B,,SLC34A3,TTBK2,,DGAT2L6,FHDC1
ZNF564,OR10G3,,ERNÊ2.00,PDE7B,,C3orf19,MORN4,,PAG1,ISX
RIMBP2,C6orf108,,ITGB6,TRIM47,,ACOT6,SBF2,,PSME2,KCNJ13
ASF1B,PRDX2,,DYNLL2,EVL,,NDUFA5,C1orf159,,C12orf10,RBMX
RAB20,BEND3,,PNN,TTPA,,GDAP1,SPEN,,OR2Z1,FAM212A
POLR1C,GIMAP7,,ERRFI1,MVD,,DDX6,ATP6V1A,,OR2H2,MRFAP1L1
TRAPPC2L,ARPC3,,HAND1,PDYN,,FAM92B,SMAGP,,PBX2,DMPK
CHMP2A,THEM5,,OR10AG1,INSIG2,,RRN3,SIM1,,SERPINA11,VDAC3
ATP5D,CHEK1,,ZDHHC12,FEZ1,,SEPHS2,SPTLC3,,OR1I1,CPO
EDN1,AP1G2,,TMLHE,LRRC1,,MT1B,C8orf33,,C1orf56,SETD9
SLK,CAPZA1,,FGF21,TRPS1,,TMEM154,C1orf55,,PLG,PADI4
KHDC1,SPOPL,,CD36,KCNK17,,GPRASP1,SVIP,,UCN3,ATP5J
TPCN2,DUSP8,,PNISR,TMC5,,ZNF620,MAN2A1,,TYR,HSDL1
DDX6,ADAD1,,PPP2R1A,C22orf29,,SLC22A10,CSRP1,,KIAA1377,ARSK
DTWD2,CDCA3,,FBXL6,SPACA3,,ART4,IL18R1,,BMP8A,MAN1A2
ACOT6,SNUPN,,CTDNEP1,OTC,,TM6SF2,HNRNPC,,MYEF2,HEBP1
VPREB3,RNASEH1,,C14orf176,POU4F1,,EIF2C2,VBP1,,PSENEN,ADAM30
GRIK5,CHRAC1,,CHRM2,SRBD1,,IAH1,CHST9,,RNF152,DEPDC7
TIMM17A,C11orf10,,CCND3,ACTRT3,,CLEC4G,ZNF295,,ALKBH3,MRPL30
RCE1,ERGIC2,,POLR3D,UQCR11,,NEK11,PSEN2,,NICN1,KDELR2
NAPRT1,DNAJB12,,ZNF529,CDK8,,KLHDC10,C14orf142,,TRPM5,ZNF578
RRAGC,FBXO5,,TPP2,NCAPH,,IGF2R,CHRNG,,IFITM10,FAM155A
ATP5G2,LRRN4CL,,SMPDL3B,ATG4C,,ITGB6,ACAD8,,FBXO31,PTK2B
DHX9,COL4A3,,HRCT1,LHFPL5,,D2HGDH,PIM3,,ACOT6,PERP
NPAS4,ASCL2,,MRPS10,CA13,,OR4E2,EMC7,,IDO1,SCYL1
REPS1,TRPM4,,MFHAS1,SIX2,,RALYL,ARL2,,WDFY1,RDM1
CYTL1,MAP2K2,,UHRF1BP1L,C10orf118,,PNLDC1,ADAMTS1,,DGKH,MSRB2
FAM92B,SYT12,,CTSO,WIPF1,,ATP13A1,APOF,,TRAPPC2L,EXTL1
CDRT15,ACBD7,,S100A11,MRPS18B,,TEX33,PSMB7,,MYL4,WDR31
CTNNBL1,ZBTB22,,ERVFRD-1,CCDC63,,C11orf94,EFCAB5,,NRTN,SGSM2
ODF4,CIAPIN1,,PIAS1,ZDHHC19,,NXN,SNX32,,ALG3,ATG4D
DHX8,EIF3B,,RIMBP2,HSPA4,,RNF7,BAIAP2L1,,NDUFA7,C7orf53
CATSPER4,MRPL1,,OR4K15,LHFP,,SLC7A10,OR3A2,,ERCC6L2,ZNF174
DNALI1,OTC,,TRAFD1,ADAM10,,SAV1,MAN1A2,,FBXW10,CD52
SPERT,TRAPPC8,,MT1B,BUB1B,,FOXA3,BBX,,FAM50A,SSTR2
WASF3,PDE7B,,TAS2R8,KIF13B,,FAM129A,USH2A,,PPP1CB,KRT23
TREML2,MIIP,,CST6,TPH1,,SERPINA4,PURA,,QSOX2,CCL5
C10orf95,HRAS,,PLD4,RRH,,CLRN2,AGTR1,,PNISR,TMCO5A
OR5AU1,HCRT,,MAGEA1,LAG3,,ARMC7,TRPM8,,HIGD1C,NUCB1
GNMT,GALNT11,,FBXL14,CDCA3,,IQGAP1,SLC22A9,,CROT,CYP1B1
SKA3,SLC24A3,,VCL,NSD1,,IL18,FASTKD1,,POLR2A,FGL2
CALM3,METTL4,,FUT10,ITIH2,,USP43,RPGRIP1,,CYP27C1,WDR26
C15orf38,MED4,,CAPS2,ONECUT3,,FAM71C,CRX,,ORMDL3,MSS51
DYNLL2,CTSW,,FAM117B,IER3IP1,,ANAPC4,SDR16C5,,SOGA3,ZNF91
DRD5,NNMT,,CCS,ZNF35,,DLGAP2,SEMA4F,,EXD1,SUV39H2
PNN,MDN1,,RALYL,PSMD2,,HMX2,GLTSCR1,,CPA3,PIGR
RPL37,KRT8,,RWDD2B,RPS4Y2,,NOL12,VDR,,PEX11G,SGPP2
D2HGDH,KRT79,,TMEM204,SLC1A2,,PRKAB1,OLFM3,,TREML2,DHRS7C
DDR2,SVIP,,PPL,ACAA2,,TRPM5,TMCO4,,SRSF12,PHF1
GPI,CPEB2,,SOX7,AQP4,,TPPP,CDC6,,CDC42EP4,EDA2R
AC024575.1,CENPBD1,,DEFB121,RETSAT,,GNG2,ZNF510,,ZNF385B,CDH12
DQX1,LRGUK,,PURG,IL5,,CHRM2,ITM2B,,DPCD,SCN3A
NICN1,C1orf64,,CBLN2,MTMR6,,NPTX1,TSPAN15,,CTCF,FRMD3
KIAA1407,ACSF2,,C4orf3,GIPC2,,HOXC10,BCL9L,,COLEC12,SCAMP3
TMED9,AP2S1,,USP28,NPW,,CST5,CFTR,,CCNE2,STARD13
AGT,CLGN,,SCN1B,UQCRB,,LPCAT4,C17orf61,,ZSCAN1,CASC4
MRPS10,METTL23,,LIPG,KCTD3,,RIPK1,PADI1,,IAPP,OLIG2
RNF150,GNL3L,,PLGRKT,CDC6,,PNPLA2,YY1,,SPERT,ZP3
LCN15,EIF3H,,MUC5B,SPATS1,,FAAH2,PRDX6,,AEN,GLCCI1
APOC3,FKBP2,,VPS36,ZBTB25,,IRAK3,FAM190B,,BPIFB1,GPR119
GP1BA,EBAG9,,ZNF704,SERPINI2,,LTA,SPC24,,CUEDC2,VIPR1
ISG20L2,KLHL32,,TCTA,KRTAP3-2,,SLC7A5,CCNI,,KCTD11,C9orf47
SCN1B,ZDHHC19,,SPERT,DHX29,,AHR,ADAR,,C9orf84,AP000892.1
SMARCD2,FNDC5,,SYT5,BUD31,,THRB,RANBP10,,GNPAT,FAM78B
TAF11,NOL8,,SHISA4,CLDN1,,KLRC2,SNAPC2,,AFG3L2,APBA2
DBH,GBX2,,BNIP2,RIC8B,,C5orf4,CAMK2A,,DSCR4,PRSS42
NIPA2,KRTAP8-1,,CYP4X1,KDELR1,,RUVBL1,SERPINA12,,SART3,HINT3
